vid_id,chunk_id,text
1,0,This protocol aims to develop a program
1,1,"This protocol aims to develop a programmed procedure
 by investigating the surgical approaches
 and anatomical landmarks
 of laparoscopic common bile duct exploration, or LCBDE,
 in patients with a history"
1,2,"procedure by investigating the surgical approaches and anatomical landmarks of laparoscopic common bile duct exploration, or LCBDE, in patients with a history of biliary tract surgery.
 A programmed operation based on surgical approaches and anatomical landmarks can help to shorten the operation time, reduce"
1,3,"A programmed operation based on surgical approaches and anatomical landmarks can help to shorten the operation time, reduce complications, improve surgical safety, and further promote the application of this technique.
 In the hepatic round ligament approach, separate and release the abdominal ligament."
1,4,"In the hepatic round ligament approach, separate and release the abdominal adhesions along the hepatic round ligament to the inferior liver margin and then to the hepatic helium to expose the common bile duct or CBD."
1,5,"the hepatic round ligament to the inferior liver margin
 and then to the hepatic helium
 to expose the common bile duct or CBD.
 In the anterior hepatoduodenal ligament approach,
 separate the duodenum from the hepatic hilum downward
 to expose the CBD anterior to the hepatoduodenal ligament.
 In the right hepatoduodenal ligament approach,
 separate the hepatic flexure of the colon
 adhered to the hepatic hilum,"
1,6,"In the right hepatoduodenal ligament approach, separate the hepatic flexure of the colon
 adhered to the hepatic hilum, starting from the right lateral side of the hepatoduodenal
 ligament downward to expose the area between the right subhepatic space and the omental"
1,7,"right lateral side of the hepato-duodenal ligament downward to expose the area between
 the right subhepatic space and the omental foramen, thereby determining the position
 of the CBD. In the hybrid approach, combine two or three
 of the demonstrated approaches, which mainly depend on the location of adhesion. If there is adhesion"
1,8,"In the hybrid approach, combine two or three of the demonstrated approaches, which mainly depend on the location of adhesion.
 If there is adhesion in the middle of the anterior abdominal wall, use the hepatic round ligament approach.
 If adhesion exists in the front and on both sides of the CBD, use the anterior hepatoduodenal ligament approach.
 If there is adhesion in the right upper abdomen,"
1,9,"If adhesion exists in the front and on both sides of the CBD,
 use the anterior hepatoduodenal ligament approach.
 If there is adhesion in the right upper abdomen,
 use the right hepatoduodenal ligament approach.
 Use the hybrid approach if there is extensive adhesion
 in the abdominal cavity.
 Use all three approaches flexibly"
1,10,"hepatoduodenal ligament approach use the hybrid approach if there is extensive adhesion in the
 abdominal cavity use all three approaches flexibly and alternately and start the separation from near
 to far from simple to complex and from loose tissues to adhered and dense tissues
 identify the parietal peritoneum and gastrointestinal cirrhosa
 use non-invasive grasping forceps to clamp and pull the gastrointestinal"
1,11,"Identify the parietal peritoneum and gastrointestinal serosa.
 Use non-invasive grasping forceps to clamp and pull the gastrointestinal tract adhering
 to the abdominal wall with the appropriate traction tension.
 Then separate and release the adhesions close to the parietal peritoneum and away from the"
1,12,"tract, adhering to the abdominal wall with the appropriate traction tension.
 Then, separate and release the adhesions close to the parietal peritoneum and away from the
 gastrointestinal serosa.
 Separate the loose adhesions with a blunt dissection or ultrasonic scalpel, then release the dent"
1,13,"gastrointestinal serosa. Separate the loose adhesions with a blunt dissection or ultrasonic
 scalpel. Then, release the dense adhesions or adhesions involving intestines with scissors
 to avoid thermal damage. Next, identify the hepatic round ligament landmark."
1,14,"adhesions or adhesions involving intestines with scissors to avoid thermal damage next identify the
 hepatic round ligament landmark in patients with a history of biliary tract surgery there are often
 mutual adhesions between the gastric antrum duodenum liver and abdominal wall find the"
1,15,"with a history of biliary tract surgery, there are often mutual adhesions between the gastric
 antrum, duodenum, liver, and abdominal wall.
 Find the inferior liver margin by separating the adhesions upward along the hepatic round
 ligament and expose the gastric antrum and the duodenum. After exposing"
1,16,"liver margin by separating the adhesions upward along the hepatic round ligament
 and expose the gastric antrum and the duodenum. After exposing the inferior liver margin
 through the hepatic round ligament, separate the adhesions downward along the visceral
 surface of the liver and further expose the gastric antrum and duodenum."
1,17,"margin. Through the hepatic round ligament, separate the adhesions downward along the
 visceral surface of the liver and further expose the gastric antrum and duodenum. If the injury is
 unavoidable, separate the adhesions close to the liver under the principle of injuring the liver
 rather than the gastrointestinal tract."
1,18,"If the injury is unavoidable, separate the adhesions close to the liver under the principle
 of injuring the liver rather than the gastrointestinal tract.
 The gastric anterior."
1,19,"and the first and second segments of the duodenum
 tend to move up and seal the first hepatic chyler region
 through the adhesions.
 Separate the adhesions downward along the viscera"
1,20,"of the duodenum tend to move up
 and seal the first hepatic chyler region
 through the adhesions.
 Separate the adhesions downward
 along the visceral surface of the liver
 from the inferior liver margin
 and expose the gastric antrum and duodenum.
 Then, lower the gastric antrum and duodenum
 to expose the CBD further."
1,21,"surface of the liver from the inferior liver margin and expose the gastric
 antrum and duodenum then lower the gastric antrum and duodenum to expose
 the CBD further to expose the CBD by identifying the hepatic flexure of the
 colon separate the adhesions between the omentum intestine and abdominal"
1,22,"To expose the CBD by identifying the hepatic flexure of the colon, separate the adhesions
 between the omentum, intestine, and abdominal wall of the right upper abdomen, and find
 the hepatic flexure of the colon.
 Separate and lower the hepatic flexure of the colon from the right inferior liver muscle."
1,23,"wall of the right upper abdomen and find the hepatic flexure of the colon. Separate and lower
 the hepatic flexure of the colon from the right inferior liver margin. Expose the CBD by"
1,24,"separating the adhesions from the right subhepatic space to the omental foramen.
 To perform laparoscopic"
1,25,"the adhesions from the right subhepatic space to the omental foramen. To perform laparoscopic
 lithotomy with forceps, push the lower segment of the CBD using non-invasive grasping forceps
 and squeeze the large stones toward the incision of the CBD."
1,26,"forceps, push the lower segment of the CBD using non-invasive grasping forceps, and squeeze the
 large stones toward the incision of the CBD. Remove the stones directly using forceps.
 To perform laparoscopic lithotomy via blind basket extraction, insert the stone basket into the CBD"
1,27,"stones directly using forceps to perform laparoscopic lithotomy via blind basket extraction
 insert the stone basket into the cbd and open it then repeatedly pull the basket up and down
 without coliticoscopic assistance remove the stones that cannot be squeezed toward the cbd"
1,28,"Then, repeatedly pull the basket up and down without coliticoscopic assistance.
 Remove the stones that cannot be squeezed toward the CBD incision via blind basket extraction,
 which substantially shortens the time of the coliticoscopic lithotomy.
 To remove the stones by CBD flushing with saline, insert a silicone tube into the CBD."
1,29,"of the kaleidoscopic lithotomy.
 To remove the stones by CBD flushing with saline,
 insert a silicone tube into the CBD.
 Use a 50 milliliter syringe to inject saline into the CBD
 through the silicone tube and flush out the small stones."
1,30,"To perform coliticoscopic lithotomy, insert the coliticoscope into the CBD and continuously inject saline through the coliticoscope flushing channel."
1,31,"To perform coliticoscopic lithotomy, insert the coliticoscope into the CBD and continuously
 inject saline through the coliticoscope flushing channel.
 Put the stone extraction basket into the CBD through the instrument channel of the coliticoscope,
 open the basket, and then take out the stones under the direct vision of the coliticoscope."
1,32,"Put the stone extraction basket into the CBD through the instrument channel of the coliticus
 scope, open the basket, and then take out the stones under the direct vision of the
 coliticus scope.
 A total of 174 patients successfully underwent CBD exploration, and three patients were converted
 to laparotomy due to intraoperative hemorrhage of the CBD wall.
 The mean operation time was approximately 163.72 minutes.
 The mean intraoperative blood loss was approximately 87.51 milliliters, and the time to the first
 flatus was 28.94 hours.
 The mean postoperative drainage volume was approximately 196.27 milliliters, and the
 length of hospital stay was 6.93 days.
 The postoperative complication rate was 9.0%.
 There were three cases of postoperative bile leakage, one case of postoperative bleeding,
 five cases of residual stones, one case of abdominal infection, and six cases of incision
 infection.
 For successful surgical"
3,0,"for one week to reduce the liver size and assist liver retraction intraoperatively.
 Establish pneumoperitoneum of 12 millimeters of mercury via a left subcostal varus needle
 at Palmer's point, defined as three centimeters below the subcostal margin in the left mid
 clavicular line. Using a direct plateless optical access entry system, insert the port which is
 supraumbilical, one hand span from the costal margin and to the left of the midline for the
 camera. Elevate the left lobe of the liver with a Natheson liver retractor through a small left
 parasyphoid incision. Place two further five millimeter ports under direct vision alongside
 the camera port, one at the level of the right midclavicular line, the second port on the left
 anterior axillary line. Insert a 10 millimeter
 port that is more caphalid at the left midclavicular line to create an ideal working triangulation."
3,1,"line insert a 10 millimeter port that is more kefalid at the left mid clavicular
 line to create an ideal working triangulation at this stage most of the
 stomach will be herniating into the mediastinum therefore poor incarcerated stomach"
3,2,"At this stage, most of the stomach will be herniating into the mediastinum.
 Therefore, pull the incarcerated stomach back into the abdominal cavity
 with continuous traction from the assistant to view the gastroesophageal junction.
 Enter the lesser curvature at the level of the pars flaccida of the gastrohepatic ligament
 and progressively dissect, reduce and excise the hernia sac using cauterization.
 This will lead to gradual exposure of both diaphragmatic crura."
3,3,"and progressively dissect, reduce, and excise the hernia sac using cauterization.
 This will lead to gradual exposure of both diaphragmatic crura.
 Note is made of the inferior vena cava and the caudate lobe of the liver in relation to the right cruce."
3,4,"Note is made of the inferior vena cava and the caudate lobe of the liver in relation to the right crux.
 Mobilize the esophagus circumferentially by dividing all the congenital periosophageal lobes."
3,5,"Mobilize the esophagus circumferentially by dividing all the congenital peri-esophageal adhesions within the hiatus.
 Continue mobilizing the hiatus hernia off the bilateral crura to assist in retracting the hernia sac into the hiatus."
3,6,"adhesions within the hiatus. Continue mobilizing the hiatus hernia off the bilateral crura
 to assist in retracting the hernia sac into the abdominal cavity.
 Identify and preserve the vagus nerves and bloth pleura."
3,7,abdominal cavity. Identify and preserve the vagus nerves and both pleura.
3,8,
3,9,
3,10,
3,11,
3,12,
3,13,create a window posteriorly between the esophagus and thoracic aorta and place
3,14,Create a window posteriorly between the esophagus and thoracic aorta and place tape around the distal esophagus to allow gentle retraction.
3,15,around the distal oesophagus to allow gentle retraction.
3,16,
3,17,
3,18,Mobilize the distal esophagus approximately about 10 centimeters in distance until there is adequate intra-abdominal esophageal
3,19,"Mobilize the distal esophagus approximately about 10 cm in distance until there is adequate intra-abdominal esophageal length, which is about 3-4 cm, and so the esophagus lies free of tension."
3,20,which is about three to four centimeters. And so the esophagus lies free of tension.
3,21,Approximate the diaphragm
3,22,"fragmatic crura with three or four interrupted 1-0 non-absorbable braided sutures and
 reinforced through repair with a pre-shaped biosynthetic mesh that is introduced behind"
3,23,"1-0 non-absorbable braided sutures and reinforce the repair with a pre-shaped biosynthetic mesh that is introduced behind the esophagus in an onlay fashion.
 The right edge of the mesh should slide under the caudate lobe of the liver. If necessary, divide the leg"
3,24,"esophagus in an onlay fashion. The right edge of the mesh should slide under the chordate lobe of
 the liver. If necessary, divide the left triangular ligament to accommodate the mesh.
 No pledges are required if the quality and the tension of the crura is adequate. The extent"
3,25,"triangular ligament to accommodate the mesh. No pledges are required if the quality and
 the tension of the crura is adequate. The extent of the crura closure should not cause"
3,26,"narrowing or compression on the lower esophagus. A rough guide to adequate closure
 is being able to pass a grasper through the remaining gap."
3,27,A rough guide to adequate closure is being able to pass a grasper through the remaining gap.
3,28,
3,29,
3,30,
3,31,Secure the bi-synthetic mesh with 4mm of fibrin glue.
3,32,Secure the biosynthetic mesh with 4mm of fibrin glue.
3,33,Perform a modified
3,34,"Perform a modified 180 degree anterior door fundoplication using 2O non-absorbable braided sutures
 by suturing the gastric fundus to the left crux, then sequentially"
3,35,"interior door funder plication using 2O non-absorbable braided sutures by suturing the gastric funders
 to the left cruz then sequentially fixing the folded greater curvature"
3,36,"the stomach, anteriorly to the diaphragm, and all the way to the proximal right crux.
 Four sutures are usually required. Incorporate the mesh into the"
3,37,"anteriorly to the diaphragm and all the way to the proximal right crux. Four
 sutures are usually required. Incorporate the mesh into the first suture. Take care
 not to injure the pericardium during the fundoplication. A bougie is not used."
3,38,"during their fundoplication.
 A bougie is not used.
 Insert a closed suction drain.
 Close skin with subcuticular, 3O synthetic,
 absorbable and monofilament sutures."
3,39,"Insert a closed suction drain. Close skin with subcuticular, 3O synthetic, absorbable and
 monofilament sutures. Post-operatively, the patient is nursed with the head elevated to 30 degrees
 to avoid aspiration. The patient was placed on regular antiemetics. The patient is allowed
 sips of water overnight followed by clear fluids if tolerated. The drain is usually removed after
 two days. The patient is advised to have a puree diet for four to six weeks."
